device_mac,device_serial,,Source List,,Status
Student Grade,Device Name ,Mac Address,Device Serial#,Charger #,
6,Dell-CB-25-92,a0:d3:65:ad:a5:ca,485JD74,25-20,Good Condition
6,Dell-CB-25-97,a0:d3:65:ad:b7:3b,1SBJD74,25-25,Good Condition
6,Dell-CB-25-132,a0:d3:65:ad:a2:78,J05JD74,25-60,"Missing keyboard keys “4""""F4"""
6,Dell-CB-25-81,a0:d3:65:ad:ac:f5,BWHKD74,25-09,Good Condition
6,Dell-CB-25-100,a0:d3:65:ad:ab:47,GWHKD74,25-28,Good Condition
6,Lenv-CB-26-09,70:15:fb:01:ce:e4,PF5G790P,26-09,
6,Dell-CB-25-121,a0:d3:65:ae:01:aa,FV0KD74,25-49,Good Condition
6,Dell-CB-25-99,a0:d3:65:ad:f9:58,JC5JD74,25-27,Good Condition
6,Dell-CB-25-104,a0:d3:65:ad:a4:b7,C3JJD74,25-32,Good Condition
6,Dell-CB-25-78,a0:d3:65:ad:cf:fa,68CLD74,25-06,Good Condition
6,Dell-CB-25-118,a0:d3:65:ad:6c:fe,99WKD74,25-46,Good Condition
6,Dell-CB-25-110,a0:d3:65:ae:23:f1,800JD74,25-38,Good Condition
6,Dell-CB-25-98,a0:d3:65:ae:5c:0e,CV0KD74,25-26,Good Condition
6,Dell-CB-25-130,a0:d3:65:ae:08:0d,140JD74,25-58,Good Condition
6,Dell-CB-25-127,a0:d3:65:ad:c4:a6,7M0LD74,25-55,Good Condition
6,Dell-CB-25-105,a0:d3:65:ad:d4:f5,9B5JD74,25-33,Chipped back cover edge
6,Dell-CB-25-116,a0:d3:65:ae:11:04,BVZHD74,25-44,Good Condition
6,Dell-CB-25-83,a0:d3:65:ae:58:71,JZNLD74,25-11,Good Condition
6,Dell-CB-25-117,a0:d3:65:ad:c4:88,G4JJD74,25-45,Chipped back cover edge
6,Dell-CB-25-125,a0:d3:65:ae:19:ec,GK5KD74,25-53,Good Condition
6,Dell-CB-25-113,a0:d3:65:ad:51:33,CYZHD74,25-41,Good Condition
6,Dell-CB-25-91,a0:d3:65:ad:c3:f2,38PJD74,25-19,Good Condition
6,Dell-CB-25-131,a0:d3:65:ae:03:a3,2QBJD74,25-59,Good Condition
6,Dell-CB-25-107,a0:d3:65:ad:fc:50,3J5JD74,25-35,Good Condition
